Date,Festival_Name,Primary_Region,Notes
2024-01-14,Makar Sankranti / Pongal,South,Harvest festival; strong regional gifting and food-category demand lift
2024-01-15,Pongal (Day 2),South,Continuation of harvest festival period
2024-01-26,Republic Day,North,National holiday; moderate retail footfall bump
2024-03-08,Maha Shivratri,North,Religious observance; fasting-related grocery demand shift
2024-03-25,Holi,North,"Major festival of colors; high demand for gifting, sweets, apparel"
2024-04-09,Ugadi / Gudi Padwa,West,Regional new year; home goods and apparel demand lift
2024-04-11,Eid al-Fitr,East,"Major religious festival; strong gifting and food demand nationally, pronounced in East"
2024-04-14,Vishu / Tamil New Year,South,Regional new year celebrations
2024-08-19,Raksha Bandhan,North,"Gifting-heavy festival; sweets, apparel, accessories demand spike"
2024-08-26,Janmashtami,North,Religious festival with regional food demand patterns
2024-09-07,Ganesh Chaturthi,West,"Major West-region festival; 10-11 day celebration, strong FMCG and decor demand"
2024-10-03,Durga Puja (Sasthi),East,Start of major East-region festival period
2024-10-12,Dussehra,North,Major national festival; strong pre-Diwali retail uptick begins
2024-10-17,Onam,South,Major South-region harvest festival; strong grocery/apparel demand
2024-10-31,Diwali,North,"Largest national festival; peak demand across almost all categories, most pronounced in North and West"
2024-11-01,Diwali (Padwa/Bhai Dooj period),West,Continued festive-period demand elevation
2024-11-15,Kartik Purnima,East,Regional religious observance
2024-12-25,Christmas,East,"Strong gifting and retail demand, pronounced in East and South urban markets"
2024-12-31,New Year's Eve,West,Year-end retail and hospitality demand spike
